gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,Yes,No,13,Yes,No,No,Yes,No,No,No internet service,Yes,Yes,Month-to-month,Yes,Credit card,109.0,1419.34,No
Female,0,No,Yes,35,No,No phone service,Fiber optic,Yes,Yes,Yes,No internet service,No internet service,No,Two year,Yes,Credit card,33.44,1172.91,No
Female,0,Yes,Yes,5,Yes,No,Fiber optic,No,No internet service,No,No,No internet service,Yes,Two year,Yes,Bank transfer,20.85,107.23,No
Male,0,No,No,37,Yes,Yes,No,No,No internet service,Yes,No,No,No,One year,Yes,Credit card,43.71,1608.41,Yes
Male,0,Yes,Yes,30,Yes,No phone service,Fiber optic,No,No internet service,No,No,Yes,Yes,One year,No,Credit card,100.66,3018.7,Yes
Female,0,No,No,66,Yes,No phone service,No,Yes,No internet service,Yes,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,80.57,5313.03,No
Female,0,Yes,No,52,Yes,Yes,No,No internet service,No internet service,No,Yes,No,No internet service,Two year,No,Electronic check,90.58,4713.34,No
Female,0,No,No,59,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Electronic check,89.28,5274.37,No
Female,0,Yes,No,0,Yes,No,No,Yes,No internet service,No,Yes,Yes,No internet service,Month-to-month,Yes,Credit card,32.28,8.57,No
Male,0,Yes,No,9,Yes,No,Fiber optic,No internet service,No internet service,No internet service,Yes,No,Yes,Two year,No,Bank transfer,87.24,784.89,No
Female,0,No,Yes,18,Yes,No,DSL,Yes,No internet service,No,No,No internet service,No,Month-to-month,No,Mailed check,31.9,567.59,No
Male,0,No,No,47,Yes,No,No,No internet service,No,Yes,Yes,Yes,No internet service,One year,No,Credit card,88.54,4159.04,No
Female,0,Yes,Yes,16,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No internet service,Two year,Yes,Credit card,19.36,316.44,No
Male,0,Yes,Yes,43,Yes,Yes,No,No,No internet service,No internet service,No,No internet service,No,Two year,No,Bank transfer,109.71,4723.09,No
Female,0,No,Yes,41,Yes,No phone service,No,Yes,Yes,No internet service,No,Yes,No,Month-to-month,Yes,Electronic check,83.63,3428.77,No
Female,0,No,No,21,Yes,Yes,No,No internet service,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,41.91,871.51,No
Male,0,No,No,21,Yes,No phone service,Fiber optic,No,Yes,No internet service,No,No internet service,Yes,Month-to-month,Yes,Bank transfer,73.37,1535.6,No
Female,1,No,Yes,27,Yes,No,No,No,No,Yes,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer,59.69,1620.68,No
Female,0,No,No,62,Yes,No phone service,No,No,No internet service,No internet service,Yes,No,Yes,Two year,Yes,Electronic check,104.06,6457.81,No
Male,0,No,No,25,Yes,Yes,Fiber optic,Yes,No,No internet service,No,No internet service,Yes,Two year,Yes,Electronic check,75.26,1875.94,No
Male,0,No,Yes,4,No,Yes,Fiber optic,No internet service,No internet service,Yes,No,No,Yes,One year,No,Mailed check,103.58,405.4,No
Female,0,Yes,Yes,8,No,No phone service,Fiber optic,Yes,Yes,Yes,No internet service,Yes,No internet service,Two year,No,Bank transfer,54.7,439.71,No
Male,0,Yes,No,53,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,No internet service,No internet service,No internet service,Two year,No,Bank transfer,117.8,6242.78,No
Female,0,Yes,No,28,Yes,Yes,DSL,Yes,No,Yes,No internet service,Yes,No internet service,One year,No,Mailed check,116.48,3261.18,No
Female,1,Yes,No,30,No,Yes,DSL,No internet service,No internet service,Yes,No,Yes,No internet service,Two year,No,Bank transfer,24.76,739.28,Yes
Female,1,No,Yes,51,Yes,Yes,No,No internet service,No,No internet service,No,No internet service,No internet service,Month-to-month,No,Credit card,18.7,956.78,Yes
Female,0,Yes,Yes,42,Yes,No,DSL,Yes,No internet service,No,Yes,Yes,No,Month-to-month,No,Bank transfer,64.7,2713.37,No
Female,0,No,Yes,67,Yes,No phone service,DSL,Yes,No internet service,Yes,Yes,No internet service,Yes,One year,Yes,Mailed check,113.21,7584.8,No
Male,0,Yes,No,39,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No internet service,One year,No,Credit card,92.48,3609.74,No
Female,0,Yes,No,2,Yes,No,DSL,No,No internet service,No,Yes,Yes,Yes,Two year,Yes,Mailed check,44.45,84.33,No
Male,0,No,No,31,Yes,Yes,No,No internet service,No,No internet service,No internet service,Yes,Yes,Month-to-month,No,Electronic check,66.76,2069.08,No
Female,1,No,Yes,9,Yes,Yes,DSL,Yes,No internet service,Yes,No internet service,Yes,No,One year,No,Bank transfer,112.26,1015.47,Yes
Female,0,No,Yes,67,No,No phone service,DSL,No internet service,Yes,Yes,No internet service,Yes,No,Two year,Yes,Electronic check,72.95,4893.37,Yes
Female,0,No,Yes,9,Yes,No phone service,DSL,No internet service,No,No,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,56.11,510.82,No
Female,1,Yes,Yes,67,Yes,Yes,Fiber optic,No internet service,No internet service,No,No internet service,Yes,Yes,One year,No,Credit card,84.75,5682.39,No
Male,0,Yes,Yes,70,Yes,Yes,No,Yes,No,No internet service,No internet service,No,No internet service,One year,Yes,Electronic check,63.68,4450.42,No
Female,0,No,Yes,25,Yes,Yes,Fiber optic,Yes,Yes,Yes,No internet service,Yes,No,Month-to-month,Yes,Electronic check,83.59,2098.87,No
Male,0,No,No,44,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Two year,Yes,Electronic check,40.1,1762.92,Yes
Male,0,Yes,No,48,Yes,No phone service,No,Yes,No internet service,No,No internet service,No internet service,Yes,Two year,No,Credit card,27.34,1303.83,No
Female,1,Yes,No,68,No,No,DSL,Yes,No,No internet service,No,No internet service,Yes,Month-to-month,Yes,Credit card,48.7,3320.03,Yes
Female,0,Yes,No,14,Yes,No phone service,DSL,No,Yes,No,No internet service,Yes,No,One year,No,Bank transfer,110.04,1545.1,No
Male,0,No,No,7,Yes,Yes,DSL,No internet service,No,No internet service,No,No,Yes,Month-to-month,No,Credit card,105.87,735.79,Yes
Female,1,Yes,Yes,45,Yes,No,No,No internet service,No,No internet service,No,Yes,Yes,Month-to-month,No,Mailed check,118.41,5335.68,No
Male,0,Yes,Yes,1,Yes,No phone service,No,Yes,No internet service,No,No,No internet service,No,One year,Yes,Bank transfer,49.0,52.11,No
Female,0,Yes,Yes,6,Yes,No phone service,Fiber optic,No,No,Yes,Yes,Yes,No,Two year,No,Credit card,38.93,230.69,Yes
Male,0,No,Yes,72,Yes,No phone service,DSL,No,No internet service,Yes,No,No,No internet service,One year,Yes,Electronic check,91.12,6561.02,No
Male,0,Yes,Yes,30,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No internet service,One year,Yes,Credit card,113.59,3415.49,No
Male,1,No,No,9,No,No,Fiber optic,Yes,No,No internet service,No,Yes,No,One year,Yes,Bank transfer,43.74,386.99,No
Male,0,No,Yes,9,No,No,DSL,Yes,Yes,No,No internet service,No internet service,No,Month-to-month,No,Credit card,85.47,776.03,No
Male,0,No,Yes,14,Yes,Yes,Fiber optic,No,No internet service,No,No internet service,No internet service,Yes,One year,Yes,Bank transfer,55.59,770.15,Yes
Female,1,Yes,No,70,No,Yes,Fiber optic,No,No,Yes,No internet service,No internet service,Yes,One year,No,Credit card,75.85,5307.81,No
Female,0,Yes,Yes,10,Yes,No phone service,No,Yes,No,No,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer,58.27,580.33,No
Male,0,Yes,No,11,Yes,Yes,Fiber optic,No,Yes,No internet service,No,No,Yes,Month-to-month,Yes,Electronic check,34.49,386.57,Yes
Male,0,Yes,No,54,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Two year,Yes,Electronic check,103.27,5572.85,No
Male,1,Yes,No,69,Yes,Yes,DSL,Yes,No internet service,No,No internet service,Yes,No internet service,One year,Yes,Credit card,28.39,1959.63,Yes
Female,0,Yes,No,24,Yes,No phone service,No,No,No internet service,Yes,No internet service,No,No,Month-to-month,No,Bank transfer,39.09,943.42,No
Female,0,No,Yes,26,No,No,No,No,No internet service,No,Yes,Yes,Yes,Two year,No,Bank transfer,30.38,798.95,No
Male,0,Yes,No,64,Yes,Yes,Fiber optic,No,Yes,No internet service,Yes,No,Yes,Month-to-month,No,Credit card,32.27,2066.25,No
Female,0,Yes,Yes,58,Yes,No phone service,No,No internet service,No,Yes,No,No internet service,No internet service,Two year,Yes,Credit card,76.7,4439.35,No
Male,0,Yes,No,35,Yes,No phone service,Fiber optic,No internet service,No,No internet service,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,116.45,4085.66,No
Male,0,Yes,No,2,Yes,Yes,DSL,No,No internet service,No internet service,No internet service,No,No internet service,One year,No,Mailed check,38.69,83.12,No
Female,0,Yes,Yes,51,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,One year,Yes,Mailed check,81.94,4178.57,No
Male,1,Yes,Yes,65,Yes,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card,111.61,7260.08,No
Female,1,Yes,No,58,Yes,No,DSL,Yes,Yes,No,No internet service,Yes,Yes,Two year,Yes,Bank transfer,63.76,3703.24,No
Female,0,No,Yes,7,Yes,Yes,No,No internet service,No,Yes,No,Yes,No,Month-to-month,No,Credit card,42.85,299.88,No
Female,0,No,No,16,Yes,No phone service,Fiber optic,Yes,Yes,No,No,No,No internet service,Month-to-month,Yes,Credit card,117.04,1869.5,No
Female,0,Yes,No,53,Yes,No,Fiber optic,No internet service,No internet service,No internet service,Yes,No internet service,No,Month-to-month,No,Mailed check,28.03,1490.73,No
Female,0,Yes,No,1,Yes,No phone service,DSL,Yes,No,Yes,No internet service,No,No,Two year,Yes,Mailed check,72.87,75.0,No
Female,0,Yes,No,47,Yes,No,Fiber optic,No internet service,Yes,No,Yes,No,No,Month-to-month,No,Credit card,51.33,2417.2,No
Male,0,No,Yes,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Yes,No,Two year,No,Bank transfer,114.31,1143.57,No
Female,1,No,Yes,5,Yes,No,No,No internet service,Yes,No internet service,Yes,No,Yes,Two year,No,Credit card,64.07,326.59,Yes
Female,0,Yes,Yes,14,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,Yes,No,No internet service,Two year,Yes,Bank transfer,92.84,1293.73,No
Male,0,Yes,No,17,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No internet service,Yes,No,Month-to-month,No,Bank transfer,63.72,1075.62,No
Male,0,Yes,No,15,Yes,No phone service,DSL,No,No,Yes,Yes,No,No internet service,Month-to-month,No,Bank transfer,59.37,892.65,No
Female,0,Yes,Yes,46,Yes,No,DSL,No,No internet service,No internet service,No internet service,No,No,Month-to-month,Yes,Bank transfer,105.86,4868.65,No
Male,0,No,Yes,47,Yes,No phone service,DSL,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,80.96,3800.23,No
Male,0,No,Yes,19,Yes,No,Fiber optic,No internet service,No internet service,Yes,Yes,Yes,No,Two year,No,Bank transfer,96.89,1843.71,No
Female,0,No,No,53,Yes,Yes,DSL,No internet service,Yes,No,Yes,Yes,No,Two year,Yes,Credit card,117.73,6233.76,No
Female,0,No,Yes,54,Yes,No,DSL,Yes,Yes,No internet service,No,No internet service,No,Two year,No,Electronic check,33.48,1810.03,No
Male,0,No,No,40,Yes,Yes,DSL,No,No,Yes,No internet service,Yes,No,Two year,Yes,Credit card,96.33,3855.99,No
Female,0,Yes,Yes,46,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Two year,No,Credit card,61.38,2829.35,No
Male,0,Yes,Yes,24,Yes,No,No,Yes,No,No,No,No,Yes,Two year,Yes,Bank transfer,95.0,2271.97,No
Male,0,No,Yes,49,No,No,Fiber optic,No,Yes,No internet service,Yes,Yes,No,One year,No,Mailed check,84.84,4152.63,No
Female,0,Yes,No,24,Yes,No phone service,No,Yes,Yes,No internet service,No internet service,Yes,Yes,One year,No,Bank transfer,62.95,1509.37,No
Male,0,No,No,60,Yes,No phone service,No,No internet service,Yes,Yes,No,No internet service,No,Two year,No,Bank transfer,36.85,2218.08,No
Male,1,No,Yes,68,Yes,No,No,No internet service,No internet service,No,No,No internet service,Yes,One year,No,Mailed check,31.04,2102.26,No
Male,0,Yes,Yes,20,Yes,No phone service,DSL,No internet service,No internet service,No internet service,Yes,No internet service,No,Month-to-month,Yes,Bank transfer,100.92,2017.38,Yes
Female,0,No,No,53,Yes,No,No,Yes,No internet service,No,No internet service,No internet service,No internet service,Month-to-month,No,Credit card,51.36,2713.46,No
Female,0,Yes,No,57,Yes,No,DSL,No internet service,No,No internet service,Yes,No,No internet service,One year,No,Electronic check,113.4,6456.31,No
Male,0,Yes,Yes,69,Yes,No phone service,No,Yes,Yes,No internet service,No internet service,Yes,Yes,Two year,No,Bank transfer,66.25,4569.1,No
Female,1,Yes,Yes,39,Yes,No phone service,No,No internet service,No internet service,Yes,Yes,No internet service,No,Two year,Yes,Credit card,93.6,3649.57,No
Male,0,No,Yes,0,No,No phone service,Fiber optic,No internet service,No internet service,No,No,Yes,No internet service,Two year,No,Credit card,111.93,-1.43,No
Male,1,No,No,12,Yes,Yes,No,Yes,No,No internet service,No,No,No,Month-to-month,No,Mailed check,31.58,384.47,No
Male,0,No,No,46,Yes,No phone service,DSL,No,No,Yes,No internet service,No,No internet service,Two year,No,Electronic check,38.06,1745.21,No
Male,0,No,Yes,28,Yes,No phone service,No,No internet service,No,No,No internet service,No internet service,No internet service,One year,Yes,Mailed check,53.29,1490.62,No
Male,0,No,Yes,39,Yes,No,No,No internet service,No internet service,No,No,No internet service,No,Month-to-month,No,Bank transfer,76.87,3005.89,No
Female,0,No,Yes,8,Yes,Yes,Fiber optic,No,No internet service,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,96.19,763.28,No
Male,1,Yes,Yes,17,Yes,No,Fiber optic,Yes,No internet service,No,No internet service,No internet service,No,One year,Yes,Credit card,57.56,977.76,No
Female,0,Yes,Yes,53,Yes,Yes,DSL,No,No internet service,No,No,Yes,No,Month-to-month,No,Credit card,28.87,1521.95,No
Male,0,No,No,65,Yes,No phone service,Fiber optic,No internet service,No internet service,No,Yes,Yes,No internet service,Month-to-month,No,Bank transfer,100.91,6561.73,No
Female,0,Yes,No,15,Yes,Yes,DSL,No,No internet service,Yes,No internet service,No internet service,No internet service,Two year,No,Bank transfer,61.54,932.55,No
Female,0,Yes,No,60,Yes,No,Fiber optic,No,No internet service,No internet service,No,Yes,No internet service,Two year,Yes,Bank transfer,112.34,6739.04,No
Female,0,No,Yes,8,Yes,No,DSL,No,No,No,Yes,No,Yes,One year,No,Credit card,102.0,817.44,No
Female,1,Yes,No,60,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No,No internet service,Yes,Month-to-month,No,Credit card,39.2,2346.07,No
Female,0,Yes,Yes,65,Yes,No phone service,DSL,No,No,No,No,No,No,One year,No,Electronic check,96.56,6278.21,Yes
Male,0,Yes,No,54,Yes,Yes,Fiber optic,No,No internet service,Yes,Yes,No internet service,No,One year,No,Credit card,92.99,5017.55,No
Female,0,Yes,No,41,Yes,No phone service,Fiber optic,No,No,Yes,No internet service,Yes,No internet service,One year,No,Mailed check,26.55,1095.73,Yes
Female,0,No,Yes,1,Yes,No phone service,No,No,No,Yes,No,Yes,No,One year,No,Bank transfer,99.3,101.97,No
Female,1,No,Yes,63,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,No,No,No internet service,One year,No,Electronic check,55.84,3527.78,No
Female,0,Yes,No,14,Yes,Yes,Fiber optic,No,No internet service,No internet service,No internet service,No,No internet service,Two year,No,Bank transfer,81.58,1146.37,No
Male,1,No,No,20,Yes,No,DSL,No internet service,Yes,No internet service,Yes,Yes,Yes,Two year,Yes,Credit card,118.64,2373.94,Yes
Female,0,Yes,Yes,3,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No internet service,One year,No,Electronic check,84.71,259.61,No
Female,0,No,Yes,28,Yes,No,Fiber optic,No,Yes,No,No internet service,No internet service,No,Two year,Yes,Electronic check,83.67,2337.14,Yes
Male,0,No,Yes,56,Yes,Yes,No,No,No internet service,Yes,No,Yes,Yes,One year,No,Mailed check,68.55,3833.26,Yes
Male,0,Yes,Yes,33,Yes,No,Fiber optic,No,Yes,Yes,No,No internet service,No internet service,Month-to-month,No,Mailed check,82.15,2704.55,Yes
Female,1,Yes,No,30,Yes,No,Fiber optic,No internet service,Yes,No,No,No internet service,Yes,Month-to-month,No,Electronic check,42.53,1282.48,No
Male,0,Yes,Yes,23,Yes,Yes,No,Yes,No internet service,No,Yes,No,No internet service,One year,Yes,Mailed check,66.0,1508.17,No
Male,0,Yes,Yes,49,Yes,No phone service,No,Yes,Yes,No internet service,No,No internet service,No internet service,Two year,No,Bank transfer,22.92,1123.04,Yes
Male,0,Yes,Yes,61,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,47.4,2896.63,No
Male,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,No internet service,Yes,No,No internet service,Month-to-month,No,Electronic check,102.1,7038.46,Yes
Female,0,Yes,No,31,Yes,No phone service,No,No,Yes,No,Yes,No,No,One year,Yes,Mailed check,42.4,1314.98,Yes
Female,0,Yes,Yes,3,No,No,DSL,No internet service,No,No,Yes,Yes,No internet service,One year,No,Bank transfer,41.83,131.12,No
Male,1,No,No,38,Yes,No,Fiber optic,Yes,Yes,No internet service,Yes,Yes,No internet service,Month-to-month,No,Mailed check,31.62,1196.83,No
Male,0,No,Yes,55,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No internet service,No,Two year,No,Mailed check,18.76,1033.26,Yes
Female,0,Yes,Yes,49,Yes,No,No,Yes,Yes,No,Yes,Yes,No internet service,Month-to-month,No,Mailed check,54.72,2690.09,Yes
Male,0,Yes,Yes,2,Yes,No,No,No internet service,No,Yes,No,No,No internet service,One year,Yes,Electronic check,115.16,225.44,No
Female,0,No,Yes,12,Yes,No,Fiber optic,No internet service,No,Yes,No internet service,No internet service,Yes,Month-to-month,Yes,Credit card,24.04,296.58,No
Female,0,Yes,Yes,54,No,Yes,Fiber optic,Yes,No,No internet service,No internet service,No,No internet service,One year,Yes,Mailed check,104.22,5635.86,No
Female,0,No,Yes,0,Yes,No,No,No internet service,No internet service,No,No,No,Yes,Two year,No,Bank transfer,76.88,1.65,No
Female,0,No,Yes,33,Yes,No phone service,No,No internet service,No,No,No,No internet service,Yes,Two year,No,Bank transfer,110.68,3643.85,No
Male,1,Yes,Yes,35,No,No,Fiber optic,No internet service,No,Yes,No internet service,No internet service,No internet service,One year,No,Mailed check,44.41,1556.64,No
Male,0,No,No,64,Yes,Yes,Fiber optic,No internet service,No,Yes,Yes,No internet service,Yes,Month-to-month,No,Mailed check,39.73,2538.53,Yes
Male,1,Yes,Yes,44,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,One year,Yes,Electronic check,44.98,1974.72,No
Female,0,No,Yes,44,Yes,No,DSL,Yes,Yes,No,No internet service,Yes,No,Month-to-month,No,Electronic check,75.66,3335.62,No
Male,0,No,Yes,16,Yes,Yes,DSL,No internet service,Yes,No,No,No,No internet service,Month-to-month,Yes,Credit card,34.54,552.52,No
Female,0,No,No,66,Yes,Yes,Fiber optic,No,No,No internet service,Yes,Yes,No internet service,One year,Yes,Bank transfer,74.41,4913.39,No
Female,0,Yes,No,3,Yes,Yes,DSL,No,No,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Mailed check,46.96,134.03,No
Female,0,No,No,33,Yes,Yes,No,Yes,No,No internet service,No internet service,Yes,No internet service,Month-to-month,Yes,Bank transfer,68.62,2267.17,No
Male,0,Yes,Yes,47,Yes,Yes,DSL,No internet service,No internet service,No,Yes,No internet service,Yes,Two year,No,Electronic check,45.21,2118.84,No
Female,0,No,Yes,21,Yes,No phone service,Fiber optic,Yes,No internet service,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer,73.26,1547.11,No
Male,0,Yes,Yes,29,Yes,No,DSL,No,No internet service,No,No internet service,Yes,No,Month-to-month,Yes,Bank transfer,104.05,3009.44,No
Male,0,No,Yes,57,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No internet service,Yes,No internet service,One year,No,Bank transfer,25.31,1443.27,No
Female,0,Yes,No,46,No,Yes,Fiber optic,Yes,No internet service,No,No,No,No,Two year,No,Bank transfer,97.86,4510.12,Yes
Male,0,No,Yes,1,Yes,Yes,DSL,No internet service,Yes,Yes,Yes,Yes,No,One year,Yes,Electronic check,92.87,88.4,No
Female,0,No,Yes,29,Yes,No phone service,DSL,Yes,No,Yes,Yes,No internet service,Yes,One year,Yes,Mailed check,80.21,2323.25,No
Female,0,No,No,27,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,One year,Yes,Electronic check,99.7,2694.65,No
Male,0,No,Yes,18,No,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Bank transfer,110.02,1979.67,No
Male,0,Yes,No,39,No,Yes,No,No internet service,No,Yes,No internet service,No internet service,Yes,One year,Yes,Bank transfer,53.31,2083.83,Yes
Female,0,No,Yes,44,Yes,No phone service,DSL,No internet service,No internet service,No,No,No internet service,No internet service,One year,Yes,Electronic check,57.39,2523.71,No
Male,0,No,Yes,10,Yes,No,No,No,No internet service,Yes,No internet service,Yes,No,Month-to-month,No,Electronic check,69.65,690.27,No
Female,0,Yes,Yes,64,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card,21.32,1369.2,No
Male,0,Yes,No,58,Yes,No phone service,No,No internet service,Yes,No,No,Yes,Yes,One year,Yes,Credit card,37.68,2175.58,No
Female,0,No,No,33,Yes,No phone service,Fiber optic,No,Yes,No internet service,Yes,No,No internet service,One year,No,Mailed check,58.12,1914.84,No
Male,0,Yes,Yes,44,No,Yes,No,No,No internet service,Yes,No,No internet service,Yes,Month-to-month,No,Mailed check,114.55,5035.61,No
Female,0,No,Yes,19,Yes,No phone service,Fiber optic,No,Yes,No internet service,Yes,No internet service,No internet service,One year,Yes,Credit card,77.22,1472.91,Yes
Male,0,No,Yes,46,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,No internet service,No internet service,No internet service,Two year,No,Electronic check,92.8,4270.23,No
Female,0,Yes,No,28,No,Yes,DSL,Yes,Yes,No,No internet service,No,No internet service,One year,Yes,Credit card,85.93,2403.59,No
Male,0,Yes,Yes,14,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card,95.22,1323.93,No
Male,0,No,Yes,66,Yes,No,Fiber optic,No internet service,No internet service,No,No,No internet service,No internet service,Two year,Yes,Credit card,116.45,7681.16,No
Male,1,No,No,47,Yes,No phone service,Fiber optic,Yes,No internet service,No,No,No internet service,No,Two year,No,Mailed check,56.03,2623.84,No
Female,0,Yes,No,30,Yes,No phone service,No,No,Yes,No,No internet service,No,No,Two year,Yes,Credit card,44.21,1327.29,No
Male,0,No,No,50,Yes,No,No,Yes,No internet service,No internet service,No internet service,Yes,Yes,One year,No,Mailed check,119.39,5973.56,No
Female,1,Yes,No,62,Yes,Yes,Fiber optic,No,No,No,Yes,No,No internet service,One year,Yes,Mailed check,78.07,4845.52,Yes
Male,0,Yes,Yes,33,Yes,Yes,Fiber optic,No,Yes,No internet service,No,No,No internet service,Two year,Yes,Credit card,107.13,3531.89,No
Female,1,Yes,Yes,47,Yes,No phone service,DSL,No internet service,Yes,No internet service,No,No,No internet service,One year,No,Electronic check,110.78,5197.81,No
Male,0,Yes,Yes,41,Yes,No,DSL,Yes,Yes,Yes,No internet service,Yes,Yes,Month-to-month,No,Electronic check,111.07,4562.75,No
Male,0,Yes,Yes,33,Yes,No phone service,DSL,No internet service,No internet service,No,No internet service,No,No internet service,Two year,Yes,Credit card,30.15,988.77,No
Male,0,No,Yes,0,Yes,Yes,DSL,No,No,No,Yes,No internet service,No,Month-to-month,Yes,Mailed check,96.99,-6.72,No
Male,0,Yes,No,5,No,No,Fiber optic,No internet service,No internet service,Yes,No,No,Yes,Month-to-month,Yes,Credit card,60.89,308.42,Yes
Male,0,No,No,62,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer,82.75,5134.02,Yes
